year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"افغانستان ",15.0436,13.67368,12.57743,12.43058,12.75384,13.09371,13.08496,12.99949,13.09382,13.40714,13.44937,13.52717,14.8552,16.81974,18.28771,19.22594,19.86465,20.49022,21.13212,21.82157,22.02095,22.0222,23.05074,24.38858,25.00134,25.53805,26.23521,26.91153,27.65889,28.39572,29.12129
"Shqipëria ",2.67141,2.72427,2.7801,2.83732,2.896,2.9567,3.01544,3.07532,3.13684,3.1958,3.24493,3.18105,3.07201,3.06629,3.11116,3.15815,3.2036,3.22541,3.21277,3.18733,3.15835,3.128,3.09803,3.06967,3.04564,3.02453,3.00578,2.99158,2.98412,2.98254,2.98695
"ⴷⵣⴰⵢⴻⵔ
",18.80606,19.40704,20.03375,20.68098,21.34055,22.00845,22.64254,23.25496,23.88077,24.49631,25.08903,25.68708,26.29845,26.91644,27.52148,28.08915,28.60404,29.08356,29.53558,29.97982,30.42923,30.87431,31.31248,31.7409,32.15767,32.56074,32.95925,33.36274,33.76967,34.17819,34.58618
"American Samoa",0.03242,0.0336,0.03471,0.03584,0.03709,0.03863,0.04016,0.04188,0.04362,0.04538,0.0472,0.04857,0.04995,0.05138,0.05273,0.05391,0.05496,0.05597,0.05693,0.05785,0.05777,0.05874,0.05964,0.0605,0.06146,0.0624,0.06322,0.06403,0.06483,0.06563,0.06643
"Angola",6.74308,6.87957,7.01853,7.24054,7.44245,7.58471,7.74863,7.8784,8.02339,8.15384,8.29661,8.49681,8.74184,8.96626,9.17228,9.41912,9.65061,9.85558,10.03917,10.21544,10.37727,10.53839,10.76051,11.05709,11.39113,11.70695,11.99281,12.2636,12.53136,12.79929,13.06816
"Antarctica","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Antigua and Barbuda",0.06855,0.06826,0.06801,0.06562,0.06447,0.0644,0.0644,0.06442,0.06443,0.06439,0.06416,0.06403,0.06518,0.06633,0.06749,0.06871,0.07006,0.07145,0.07278,0.07402,0.07535,0.07673,0.07794,0.07907,0.08019,0.08128,0.08234,0.08343,0.08452,0.08563,0.08675
"Argentina",28.3698,28.84806,29.32988,29.79355,30.23064,30.67176,31.14499,31.62462,32.09932,32.57162,33.03558,33.50441,33.96685,34.40715,34.84689,35.27384,35.68296,36.10216,36.51792,36.92342,37.33565,37.69417,37.99945,38.33688,38.74183,39.18126,39.61443,40.04882,40.482,40.91358,41.3432
"Hayastán
","--","--","--","--","--","--","--","--","--","--","--","--",3.37833,3.23157,3.12609,3.06875,3.0634,3.059,3.04915,3.04762,3.04256,3.02759,3.01382,3.00171,2.99136,2.9829,2.97637,2.97165,2.96859,2.967,2.9668
"Aruba","--","--","--","--","--","--",0.0598,0.05918,0.0595,0.06069,0.06303,0.0663,0.06948,0.07407,0.07785,0.07996,0.08307,0.08621,0.0882,0.08926,0.09,0.09097,0.09217,0.09372,0.09546,0.09698,0.0985,0.10002,0.10154,0.10307,0.10459
"Australia ",14.6159,14.92326,15.16178,15.34807,15.51048,15.69524,15.90042,16.13672,16.40073,16.6806,16.95624,17.20212,17.41893,17.6078,17.78109,17.97563,18.19585,18.41526,18.62084,18.83025,19.05319,19.29426,19.53494,19.76654,19.99508,20.23235,20.48947,20.74963,21.00731,21.26264,21.51575
"Österreich",7.54943,7.56463,7.57461,7.5529,7.55413,7.55978,7.56824,7.5789,7.59979,7.62786,7.72295,7.81842,7.91497,7.9886,8.02754,8.04743,8.06085,8.06988,8.07862,8.09416,8.11341,8.13169,8.14831,8.16266,8.17476,8.18469,8.19288,8.19978,8.20553,8.21028,8.21416
"Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--",7.4594,7.48215,7.49498,7.55494,7.62844,7.67788,7.72649,7.76871,7.80905,7.84723,7.88378,7.92412,7.96835,8.01557,8.06616,8.12025,8.17772,8.23867,8.30351
